Pokemon Name,Abilities,Moves
ekans,"intimidate, shed-skin, unnerve","bind, slam, headbutt, body-slam, wrap, take-down, double-edge, poison-sting, leer, bite, disable, acid, strength, mega-drain, earthquake, fissure, dig, toxic, rage, mimic, screech, double-team, haze, bide, skull-bash, glare, leech-life, rest, rock-slide, substitute, thief, snore, curse, spite, protect, scary-face, sludge-bomb, mud-slap, giga-drain, endure, swagger, attract, sleep-talk, return, frustration, pursuit, iron-tail, hidden-power, rain-dance, sunny-day, crunch, beat-up, stockpile, spit-up, swallow, torment, facade, knock-off, snatch, secret-power, poison-fang, rock-tomb, mud-shot, poison-tail, natural-gift, payback, gastro-acid, sucker-punch, toxic-spikes, poison-jab, dark-pulse, aqua-tail, seed-bomb, switcheroo, fire-fang, mud-bomb, gunk-shot, captivate, venoshock, sludge-wave, coil, acid-spray, round, bulldoze, snarl, belch, confide, infestation, brutal-swing, psychic-fangs, scale-shot, skitter-smack, lash-out, tera-blast, trailblaze"
arbok,"intimidate, shed-skin, unnerve","bind, slam, headbutt, body-slam, wrap, take-down, double-edge, poison-sting, leer, bite, acid, hyper-beam, strength, mega-drain, earthquake, fissure, dig, toxic, rage, mimic, screech, double-team, haze, bide, skull-bash, glare, leech-life, rest, rock-slide, substitute, thief, snore, curse, spite, protect, scary-face, sludge-bomb, mud-slap, giga-drain, endure, swagger, attract, sleep-talk, return, frustration, pain-split, iron-tail, hidden-power, rain-dance, sunny-day, crunch, stockpile, spit-up, swallow, torment, facade, knock-off, snatch, secret-power, poison-fang, rock-tomb, mud-shot, poison-tail, natural-gift, payback, gastro-acid, sucker-punch, toxic-spikes, poison-jab, dark-pulse, aqua-tail, seed-bomb, switcheroo, giga-impact, thunder-fang, ice-fang, fire-fang, mud-bomb, gunk-shot, captivate, venoshock, sludge-wave, coil, acid-spray, round, bulldoze, dragon-tail, snarl, belch, confide, infestation, throat-chop, brutal-swing, psychic-fangs, stomping-tantrum, breaking-swipe, scale-shot, skitter-smack, lash-out, tera-blast, trailblaze"
pikachu,"static, lightning-rod","mega-punch, pay-day, thunder-punch, slam, double-kick, mega-kick, headbutt, body-slam, take-down, double-edge, tail-whip, growl, surf, submission, counter, seismic-toss, strength, thunder-shock, thunderbolt, thunder-wave, thunder, dig, toxic, agility, quick-attack, rage, mimic, double-team, defense-curl, light-screen, reflect, bide, swift, skull-bash, flash, rest, substitute, thief, snore, curse, reversal, protect, sweet-kiss, mud-slap, zap-cannon, detect, endure, charm, rollout, swagger, spark, attract, sleep-talk, return, frustration, dynamic-punch, encore, iron-tail, hidden-power, rain-dance, rock-smash, uproar, facade, focus-punch, charge, helping-hand, brick-break, knock-off, endeavor, secret-power, fake-tears, signal-beam, covet, volt-tackle, calm-mind, shock-wave, natural-gift, feint, fling, magnet-rise, nasty-plot, discharge, captivate, grass-knot, charge-beam, electro-ball, round, echoed-voice, volt-switch, electroweb, wild-charge, disarming-voice, draining-kiss, play-rough, play-nice, confide, eerie-impulse, electric-terrain, nuzzle, laser-focus, rising-voltage, tera-blast, trailblaze, alluring-voice, upper-hand"
raichu,"static, lightning-rod","mega-punch, pay-day, thunder-punch, slam, mega-kick, headbutt, body-slam, take-down, double-edge, tail-whip, growl, surf, hyper-beam, submission, counter, seismic-toss, strength, thunder-shock, thunderbolt, thunder-wave, thunder, dig, toxic, agility, quick-attack, rage, mimic, double-team, defense-curl, light-screen, reflect, bide, swift, skull-bash, flash, rest, substitute, thief, snore, curse, reversal, protect, sweet-kiss, mud-slap, zap-cannon, detect, endure, charm, rollout, swagger, spark, attract, sleep-talk, return, frustration, safeguard, dynamic-punch, encore, iron-tail, hidden-power, rain-dance, rock-smash, fake-out, uproar, facade, focus-punch, charge, helping-hand, brick-break, knock-off, endeavor, secret-power, signal-beam, covet, calm-mind, shock-wave, natural-gift, feint, fling, magnet-rise, focus-blast, giga-impact, nasty-plot, discharge, captivate, grass-knot, charge-beam, electro-ball, round, echoed-voice, volt-switch, electroweb, wild-charge, disarming-voice, draining-kiss, play-rough, play-nice, confide, eerie-impulse, electric-terrain, nuzzle, laser-focus, speed-swap, brutal-swing, rising-voltage, tera-blast, trailblaze, alluring-voice, upper-hand"
sandshrew,"sand-veil, sand-rush","scratch, swords-dance, cut, sand-attack, headbutt, body-slam, take-down, double-edge, poison-sting, submission, low-kick, counter, seismic-toss, strength, earthquake, fissure, dig, toxic, agility, rage, mimic, double-team, defense-curl, bide, swift, skull-bash, amnesia, leech-life, fury-swipes, rest, rock-slide, super-fang, slash, substitute, thief, snore, curse, flail, protect, mud-slap, spikes, detect, sandstorm, endure, rollout, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, safeguard, magnitude, dynamic-punch, rapid-spin, iron-tail, metal-claw, hidden-power, sunny-day, rock-smash, facade, focus-punch, brick-break, knock-off, endeavor, secret-power, crush-claw, rock-tomb, sand-tomb, aerial-ace, mud-shot, covet, gyro-ball, natural-gift, fling, poison-jab, night-slash, x-scissor, earth-power, shadow-claw, rock-climb, stone-edge, captivate, stealth-rock, hone-claws, smack-down, round, chip-away, bulldoze, work-up, rototiller, confide, high-horsepower, throat-chop, stomping-tantrum, steel-roller, scorching-sands, tera-blast"
sandslash,"sand-veil, sand-rush","scratch, swords-dance, cut, sand-attack, headbutt, body-slam, take-down, double-edge, poison-sting, pin-missile, hyper-beam, submission, low-kick, counter, seismic-toss, strength, earthquake, fissure, dig, toxic, agility, rage, mimic, double-team, defense-curl, bide, swift, skull-bash, amnesia, leech-life, fury-swipes, rest, rock-slide, super-fang, slash, substitute, thief, snore, curse, flail, protect, mud-slap, spikes, detect, sandstorm, endure, rollout, false-swipe, swagger, fury-cutter, attract, sleep-talk, return, frustration, safeguard, magnitude, dynamic-punch, rapid-spin, iron-tail, metal-claw, hidden-power, sunny-day, rock-smash, facade, focus-punch, brick-break, knock-off, endeavor, secret-power, crush-claw, rock-tomb, sand-tomb, aerial-ace, mud-shot, covet, gyro-ball, natural-gift, fling, poison-jab, night-slash, x-scissor, focus-blast, earth-power, giga-impact, shadow-claw, rock-climb, gunk-shot, stone-edge, captivate, stealth-rock, hone-claws, smack-down, round, bulldoze, work-up, drill-run, confide, high-horsepower, throat-chop, stomping-tantrum, steel-roller, scorching-sands, tera-blast"
nidoran-f,"poison-point, rivalry, hustle","scratch, cut, double-kick, headbutt, tackle, body-slam, take-down, double-edge, tail-whip, poison-sting, bite, growl, supersonic, disable, ice-beam, blizzard, counter, strength, thunderbolt, thunder, dig, toxic, rage, mimic, double-team, defense-curl, reflect, focus-energy, bide, skull-bash, fury-swipes, rest, super-fang, substitute, thief, snore, curse, protect, sludge-bomb, mud-slap, detect, endure, charm, swagger, attract, sleep-talk, return, frustration, pursuit, iron-tail, hidden-power, rain-dance, sunny-day, crunch, rock-smash, beat-up, flatter, facade, helping-hand, secret-power, poison-fang, aerial-ace, poison-tail, shock-wave, water-pulse, natural-gift, toxic-spikes, poison-jab, earth-power, shadow-claw, captivate, hone-claws, venoshock, round, echoed-voice, chip-away, confide, venom-drench"
nidorina,"poison-point, rivalry, hustle","scratch, cut, double-kick, headbutt, horn-drill, tackle, body-slam, take-down, double-edge, tail-whip, poison-sting, bite, growl, water-gun, ice-beam, blizzard, bubble-beam, counter, strength, thunderbolt, thunder, dig, toxic, rage, mimic, double-team, defense-curl, reflect, focus-energy, bide, skull-bash, fury-swipes, rest, super-fang, substitute, thief, snore, curse, protect, sludge-bomb, mud-slap, detect, endure, charm, swagger, attract, sleep-talk, return, frustration, iron-tail, hidden-power, rain-dance, sunny-day, crunch, rock-smash, beat-up, flatter, facade, helping-hand, secret-power, poison-fang, aerial-ace, shock-wave, water-pulse, natural-gift, toxic-spikes, poison-jab, earth-power, shadow-claw, captivate, hone-claws, venoshock, round, echoed-voice, confide, venom-drench, stomping-tantrum"
nidoqueen,"poison-point, rivalry, sheer-force","mega-punch, pay-day, fire-punch, ice-punch, thunder-punch, scratch, cut, double-kick, mega-kick, headbutt, horn-drill, tackle, body-slam, take-down, double-edge, tail-whip, poison-sting, bite, growl, roar, supersonic, flamethrower, water-gun, surf, ice-beam, blizzard, bubble-beam, hyper-beam, submission, counter, seismic-toss, strength, thunderbolt, thunder, earthquake, fissure, dig, toxic, rage, mimic, double-team, defense-curl, reflect, focus-energy, bide, fire-blast, skull-bash, fury-swipes, rest, rock-slide, super-fang, substitute, thief, snore, curse, protect, sludge-bomb, mud-slap, icy-wind, detect, outrage, sandstorm, endure, charm, swagger, fury-cutter, attract, sleep-talk, return, frustration, dynamic-punch, iron-tail, hidden-power, rain-dance, sunny-day, crunch, shadow-ball, rock-smash, whirlpool, beat-up, uproar, torment, flatter, facade, focus-punch, taunt, helping-hand, superpower, brick-break, secret-power, rock-tomb, sand-tomb, aerial-ace, mud-shot, rock-blast, shock-wave, water-pulse, natural-gift, fling, toxic-spikes, poison-jab, aqua-tail, dragon-pulse, focus-blast, earth-power, giga-impact, avalanche, shadow-claw, rock-climb, stone-edge, captivate, stealth-rock, hone-claws, venoshock, smack-down, sludge-wave, round, echoed-voice, chip-away, hex, incinerate, quash, bulldoze, dragon-tail, drill-run, confide, venom-drench, power-up-punch, high-horsepower, throat-chop, stomping-tantrum, body-press, scorching-sands"
nidoran-m,"poison-point, rivalry, hustle","cut, double-kick, headbutt, horn-attack, fury-attack, horn-drill, tackle, body-slam, take-down, thrash, double-edge, poison-sting, leer, supersonic, disable, ice-beam, blizzard, peck, counter, strength, thunderbolt, thunder, dig, toxic, confusion, rage, mimic, double-team, defense-curl, reflect, focus-energy, bide, skull-bash, amnesia, rest, super-fang, substitute, thief, snore, curse, protect, sludge-bomb, mud-slap, detect, endure, swagger, attract, sleep-talk, return, frustration, iron-tail, hidden-power, rain-dance, sunny-day, rock-smash, beat-up, flatter, facade, helping-hand, secret-power, poison-tail, shock-wave, water-pulse, natural-gift, sucker-punch, toxic-spikes, poison-jab, earth-power, shadow-claw, captivate, head-smash, hone-claws, venoshock, round, echoed-voice, chip-away, drill-run, confide, venom-drench, smart-strike"
nidorino,"poison-point, rivalry, hustle","cut, double-kick, headbutt, horn-attack, fury-attack, horn-drill, tackle, body-slam, take-down, double-edge, poison-sting, leer, water-gun, ice-beam, blizzard, bubble-beam, peck, counter, strength, thunderbolt, thunder, dig, toxic, rage, mimic, double-team, defense-curl, reflect, focus-energy, bide, skull-bash, amnesia, rest, super-fang, substitute, thief, snore, curse, protect, sludge-bomb, mud-slap, detect, endure, swagger, attract, sleep-talk, return, frustration, iron-tail, hidden-power, rain-dance, sunny-day, rock-smash, beat-up, flatter, facade, helping-hand, secret-power, shock-wave, water-pulse, natural-gift, sucker-punch, toxic-spikes, poison-jab, earth-power, shadow-claw, captivate, hone-claws, venoshock, round, echoed-voice, drill-run, confide, venom-drench, smart-strike, stomping-tantrum"
